"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Starts,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,"No Targeting",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-09-04,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Best Interest Audience Mix",not_delivering,-,,,0,0,,20,Daily,0,Ongoing,2025-09-04,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Set 7 (2 VA) - Consultants",inactive,-,,,0,0,,60,Daily,0,Ongoing,2025-09-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Set 7 (2 VA) - Wam Audience",not_delivering,-,,,0,0,,60,Daily,0,Ongoing,2025-09-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Best Cold Audiences",inactive,-,,,0,0,,30,Daily,0,Ongoing,2025-09-09,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Set 7 (2 VA) - All Lookalikes - 25-60 USA",not_delivering,-,,,0,0,,50,Daily,0,Ongoing,2025-09-10,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Set 7 (2 VA) - LL - Liked ESA",not_delivering,-,,,0,0,,50,Daily,0,Ongoing,2025-09-10,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Set 7 (2 VA) - Coaches/Speakers - 35-58 - Copy",not_delivering,-,,,0,0,,50,Daily,0,Ongoing,2025-09-10,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"90-Day IG/FB Engagement - Marketing + AI",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-10-02,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Consultants - Marketing + AI",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2025-10-02,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Top Lookalikes - Marketing + AI",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-10-02,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Speakers - Checkout & AI",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-10-02,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Visited Website Past Year",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2025-10-06,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Best Lookalikes - Video #1  - ""STOP""",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-11-13,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"LA - Top Qualified Leads (Ex. Bad Leads) - Video #2 - New Form - Copy 2",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-11-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Coaches/Consultants + Event Planning",inactive,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,Coaches/Consultants,not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,Coaches/Consultants,not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,Coaches/Consultants,not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"COLD - NO Targeting",not_delivering,-,,,0,0,,20,Daily,0,Ongoing,2024-10-12,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"25% of Ad / Webinar - Checkout & AI",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-10-02,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Real Estate - Image #1",not_delivering,-,,,0,0,,20,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"No Targeting - New AI Ad #9",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Warm Audiences",not_delivering,-,,,0,0,,5,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Speakers - Top Ad - ""STOP""",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Speakers - NEW - New AI Ads #2",inactive,-,,,0,0,,40,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Lookalikes - Pace Morby",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-11-18,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All WARM Audiences - Pace Morby",not_delivering,-,,,0,0,,5,Daily,0,Ongoing,2025-11-19,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Motivational speaking A+ - Top Ads - NEW Form/Copy",inactive,-,,,0,0,,40,Daily,0,Ongoing,2025-11-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches, Speakers (Ex. Bad Leads) - Video #2",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2025-11-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"LL - 95% IG Vids Past Year - ""We fill events"" Static Ad",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-12-03,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"25% of Ads Past Week (Ex. Leads)  - ""How we sell out events"" Static Ad",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-04,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Website Vis - Test. Sizzle  - Cropped #2",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-04,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Top Lookalikes - ""STOP"" Video Ad",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"No Targeting - A+ (Top 25%) - ""We fill rooms..."" Image",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Website Visitors - Pace Morby",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Website Visitors - Tiffany Lyons",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Eventbrite - Top 25% Income - ""We fill rooms"" Image",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Top Lookalikes - Leads coming in...",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watched 50% Videos Past Year  ​- ""See how we sell out events""",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-12-09,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Coaches/Consultants + Event Planning",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Consultants (A+)",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-10-01,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Event Plan. - Eng. Shop.",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-10-01,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Entreprenuers (USA)",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2024-10-03,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Entreprenuers (USA)",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2024-10-03,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"[ESA] - [event planners] - [pain 1] - 5.19 - florida + surrounding states",inactive,-,,,0,0,,100,Daily,0,Ongoing,2024-10-04,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"AIA - Phase 1 Ad Set: DMs to WARM Blend",not_delivering,-,,,0,0,,30,Daily,0,Ongoing,2024-10-10,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Event Plan. - Eng. Shop. - AA+",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2025-04-19,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All WARM Audiences - New Image Ad #3",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-05-17,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike 1% US",not_delivering,-,,,0,0,,50,Daily,0,Ongoing,2025-05-23,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike (US, 1%) - All Website Visitors",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-05-25,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike (liked ESA FB Page) - New Ad #3",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-05,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike (liked ESA FB Page) - New Ad #2 - Copy",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-09,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Audiences (Ex. NEW Bad Leads) - Image #2 - Copy",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-23,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watched 3 secs ANY recent ESS Ad",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-08-23,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike (US, 1%) - Started Following ESA Past Year",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-08-25,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NO Interests - A+ - New AI Ads",inactive,-,,,0,0,,15,Daily,0,Ongoing,2025-10-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Website Visitors - Testimonial Sizzle",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,10,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Eventbrite - Top 25% Income - ""STOP"" Video Ad",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Digital marketing - Top 25% Income - Leads coming in...",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Consultants - Top 25% - Leads coming in...",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watched 50% Ads - David Testimonial",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-17,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Website Visitors - David Testimonial",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-17,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Website Visitors - Alanna Testimonial",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-17,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watched 25% of Ads Past 7 Days ​- Event Rescue Team",inactive,-,,,0,0,,25,Daily,0,Ongoing,2025-12-20,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"[ESA] - Website Visitors Past Year",inactive,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-22,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW Engaged in IG Past Year (Ex. DM's)",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Personal development",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,Coaches/Speakers,not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,Coaches/Consultants,not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Engaged in IG Past Year",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-10-01,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Entreprenuers (USA)",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2024-10-03,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Event Plan. - Eng. Shop.",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-04-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Speakers - Copy",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-05-14,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Speakers/Experts ONLY - Refined 948K - Checklist Ad",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-05-15,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Speakers/Experts ONLY - Refined",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-05-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All WARM Audiences - New Image Ad #2",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-05-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All WARM Audiences - New Image Ad #1",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-05-17,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All WARM Audiences NEW - New AD #1 - Checklist",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-05-28,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Warm Leads - Promo #1 - Copy",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-06-05,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Lookalikes - New AD #2",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"BEST Lookalikes (Exl. Warm Aud.) - Top Ads",inactive,-,,,0,0,,50,Daily,0,Ongoing,2025-06-13,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Event Planner, Biz Owner, Pers Dev (Exl. Warm Aud.) - Top Ads",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike - Watched 95% Videos - Image Ad #2",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike - Watched 95% Videos - Image Ad #2 - Copy",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-22,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike - Top Qaulified Leads (Ex. Bad Leads) - Video #2",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-07-01,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches (Ex. Bad Leads) - Video #2 - New Form",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-07-09,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Warm Audience - Video #2",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-07-09,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"No Targeting - Florida ONLY",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-08-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Best Warm Audience Mix",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-09-05,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW Engaged in IG Past Year (Ex. DM's)",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watche 50% Vids Past Year",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sent DM Past Year",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Consultants (A+)",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Biz Owners, Experts & Prof",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2024-10-03,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Custom Audience Blend",not_delivering,-,,,0,0,,50,Daily,0,Ongoing,2024-10-04,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Event Plan. - Eng. Shop. - Copy 2",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-05-13,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Event Hosts - Image # 1",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-05-27,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike (liked ESA FB Page) - New Ad #2",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-05,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Lookalikes - New AD #2 - Copy",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-09,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Lookalike Aud. - Excluding WARM- Video #2",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-07-08,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Speakers - ALL Ads",inactive,-,,,0,0,,30,Daily,0,Ongoing,2025-08-12,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Entrepreneur - Biz Admins",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-08-24,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Lookalikes - Top Ads - Copy",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-08-25,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Set 4 (3 VA) - Open",inactive,-,,,0,0,,30,Daily,0,Ongoing,2025-08-28,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Set 5 (3 VA) - Open",inactive,-,,,0,0,,30,Daily,0,Ongoing,2025-08-28,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Set 7 (2 VA) - Open",not_delivering,-,,,0,0,,300,Daily,0,Ongoing,2025-08-28,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Entrepreneurs + Coaches - More Assets",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-08-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Top ALookalikes",not_delivering,-,,,0,0,,50,Daily,0,Ongoing,2025-09-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Website Visitors - Individual Testimonials",not_delivering,-,,,0,0,,15,Daily,0,Ongoing,2025-09-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Warm Audience - FL",not_delivering,-,,,0,0,,50,Daily,0,Ongoing,2025-09-10,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Consultants - Checkout & AI",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-10-02,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"No Targeting - New AI Ad #2",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Warm Audiences - ""STOP"" Video Ad",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2025-12-03,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Website Visitors ​- ""STOP promoting your event""",inactive,-,,,0,0,,15,Daily,0,Ongoing,2025-12-17,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watche 50% Vids Past Year",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,Coaches/Consultants,not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Event Planners",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-10-02,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"New Leads Ad Set",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2025-05-14,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"LA - Liked ESA Page - Video #2 - Copy",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-07-08,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"LA - Liked ESA Page - Video #2 - Copy 2",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-07-09,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Speakers - 35-58 - A+",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-08-19,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Entrepreneurs + Coaches",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-08-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Consultants - More Assets",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-08-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,Consultants,not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2025-09-01,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike (US, 1%) - Top Qualified FB Form Leads",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-09-01,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Speakers - ALL Ads - Copy",not_delivering,-,,,0,0,,30,Daily,0,Ongoing,2025-09-01,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watched 25% of Any Recent Ad",not_delivering,-,,,0,0,,20,Daily,0,Ongoing,2025-09-05,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Set 8 (2 VA) - Open",not_delivering,-,,,0,0,,200,Daily,0,Ongoing,2025-09-10,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches & Trainers (Ex. Bad Leads)",not_delivering,-,,,0,0,,20,Daily,0,Ongoing,2025-09-10,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Set 7 (2 VA) - Watched 25% of Webinar Ads",not_delivering,-,,,0,0,,30,Daily,0,Ongoing,2025-09-10,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watched 25% of Any Recent Ad",inactive,-,,,0,0,,40,Daily,0,Ongoing,2025-09-17,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NO Interests - A+ - Testimonials ONLY",inactive,-,,,0,0,,35,Daily,0,Ongoing,2025-10-15,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watched 50% or more of All Videos - New AI Ads #2",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-10-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Australia,  Canada,   UK, USA - A+ - New AI Ads",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-10-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Warm Audiences - A+ - New AI Ads #2",inactive,-,,,0,0,,15,Daily,0,Ongoing,2025-11-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"No Targeting - Tiffany Lyons",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Website Visitors - Tiffany Lyons",not_delivering,-,,,0,0,,5,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"No Targeting - A+ [US, UK, AUS] - ""We fill events"" Static Ad",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-12-03,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches & Trainers (Ex. Bad Leads) - ""STOP"" Video Ad",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-12-06,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Coaches/Consultants",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-09-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Web. Vis. Past 6 Months",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-10-01,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Event Planners",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,2024-10-02,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"No Targeting (A+)",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2024-10-04,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Event Plan. - Eng. Shop. - AA+ - Copy",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-04-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Motivational speaking (business & finance)",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2025-05-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All  lookalikes - Promo #2",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,2025-06-08,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike - 95% IG Vids Past Year - New AD #2",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-09,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Lookalikes - New AD #2 - Copy",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-06-12,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"LA - All Audiences - Video #2",inactive,-,,,0,0,,10,Daily,0,Ongoing,2025-06-21,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NO Interests - A+",inactive,-,,,0,0,,35,Daily,0,Ongoing,2025-10-12,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NO Interests - A+ - New AI Ads #2",inactive,-,,,0,0,,25,Daily,0,Ongoing,2025-10-29,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Real Estate - Image #1",not_delivering,-,,,0,0,,5,Daily,0,Ongoing,2025-11-15,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Real Estate - Image #3",not_delivering,-,,,0,0,,20,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"No Targeting - Pace Morby",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"No Targeting - New AI Ad #1",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-11-16,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Lookalike - 95% Vids (Ex. Bad Leads) - Video #2",inactive,-,,,0,0,,20,Daily,0,Ongoing,2025-11-30,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watched 25% of Ads Past 7 Days - ""STOP"" Video Ad",inactive,"7-day click or 1-day view",,,0,0,,20,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Digital marketing - Top 25% Income - ""We fill rooms"" Image",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Digital marketing - Top 25% Income - ""STOP"" Video Ad",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-07,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"All Warm Audiences - ""STOP promoting your event""",inactive,-,,,0,0,,5,Daily,0,Ongoing,2025-12-09,0,0,,,,,0,0,0,,
